Time State
8.309 0
8.35871 0
8.50751 0
8.65596 0
8.91376 0
8.91799 0
8.92322 0
8.96094 0
9.10986 0
9.15915 0
9.26023 0
9.36874 0
9.46732 0
9.56297 0
9.66575 0
9.76729 0
9.86598 0
10.023 0
10.1238 0
10.2271 0
10.321 0
10.6308 0
10.6388 0
10.6449 0
10.775 0
10.7827 0
10.8786 0
10.9767 0
11.276 0
11.3796 0
11.3884 0
11.3954 0
11.4833 0
11.5831 0
11.7864 0
11.989 0
11.9995 0
12.0085 0
12.1416 0
12.1891 0
12.2879 0
12.4909 0
12.5379 0
12.5919 0
12.69 0
12.7934 0
12.8908 0
12.9916 0
13.0923 0
13.1938 0
13.2981 0
13.4449 0
13.4999 0
13.6002 0
13.899 0
13.9084 0
13.9196 0
14.0012 0
14.105 0
14.203 0
14.4065 0
14.4561 0
14.5078 0
14.6083 0
14.7576 0
14.8096 0
14.907 0
15.0086 0
15.1135 0
15.3201 0
15.5573 0
15.5885 0
15.6467 0
15.9428 0
16.496 0
16.5297 0
16.5502 0
16.7306 0
16.7422 0
16.7562 0
16.77 0
16.7818 0
16.7931 0
16.8618 0
16.9611 0
17.0601 0
17.2936 0
17.3447 0
17.3912 0
17.4901 0
17.5911 0
17.6909 0
17.7911 0
17.8951 0
17.9938 0
18.0956 0
18.2005 0
18.2973 0
18.4497 0
18.4964 0
18.6971 0
18.7085 0
18.799 0
18.9013 0
19.0035 0
19.1034 0
19.3048 0
19.3153 0
19.4048 0
19.5062 0
19.6049 0
19.7083 0
19.8086 0
19.9068 0
20.0079 0
20.1114 0
20.2255 0
20.5675 0
20.5797 0
20.591 0
20.8655 0
20.8797 0
20.8938 0
20.9204 0
21.1216 0
21.1297 0
21.2225 0
21.3732 0
21.4737 0
21.6224 0
21.6302 0
21.7229 0
21.8738 0
21.9298 0
22.0271 0
22.1287 0
22.2838 0
22.3315 0
22.4274 0
22.531 0
22.7314 0
22.7389 0
22.9353 0
22.9446 0
23.0319 0
23.1357 0
23.3349 0
23.3408 0
23.4351 0
23.5361 0
23.6362 0
23.7396 0
24.0418 0
24.049 0
24.0572 0
24.2485 0
24.2544 0
24.3978 0
24.4432 0
24.5446 0
24.7479 0
24.8531 0
24.903 0
24.9494 0
25.054 0
25.1528 0
25.3 0
25.3538 0
25.4548 0
25.5551 0
25.6558 0
25.7548 0
25.8565 0
26.0123 0
26.1604 0
26.1689 0
26.2613 0
26.4135 0
26.4627 0
26.5655 0
26.667 0
26.7672 0
26.8732 0
26.9694 0
27.07 0
27.1707 0
27.2721 0
27.4275 0
27.4754 0
27.5776 0
27.6811 0
27.7758 0
27.8778 0
27.9793 0
28.0781 0
28.1792 0
28.3291 0
28.3822 0
28.531 0
28.7347 0
28.7429 0
28.8404 0
28.8963 0
28.9939 0
29.1421 0
29.1945 0
29.2965 0
29.3904 0
29.5489 0
29.5968 0
29.6948 0
29.7942 0
29.8975 0
30.003 0
30.1459 0
30.1979 0
30.2996 0
30.4073 0
30.5024 0
30.6588 0
30.7065 2
30.8089 2
30.9078 2
31.0658 0
31.1141 0
31.3261 2
31.4854 0
31.5867 0
31.6906 2
31.7958 2
31.9953 0
32.0046 0
32.0966 2
32.1938 2
32.2955 2
32.4461 0
32.5014 2
32.7594 2
32.7732 0
32.8038 2
32.9533 2
33.0095 2
33.1591 2
33.3066 2
33.3206 2
33.4079 2
33.5069 2
33.6093 2
33.7091 2
33.812 3
33.9134 3
34.0108 3
34.2163 3
34.229 3
34.3196 3
34.4203 3
34.5732 3
34.6185 3
34.7185 3
35.0227 3
35.0356 3
35.0486 3
35.1226 3
35.224 3
35.3265 3
35.4259 3
35.5284 3
35.6283 3
35.9841 3
36.0022 3
36.0217 3
36.0361 3
36.1345 3
36.2863 3
36.4389 3
36.492 3
36.5875 3
36.8948 3
36.9137 3
36.9346 3
36.9499 3
37.0413 3
37.1438 3
37.3058 3
37.3487 3
37.4456 3
37.5517 3
37.6459 3
37.8468 1
37.9058 1
37.9504 1
38.0509 1
38.1567 1
38.253 1
38.522 1
38.6 3
38.7465 1
38.8508 1
38.8991 1
38.9992 1
39.1006 1
39.2553 3
39.3567 1
39.4048 1
39.6572 1
39.6772 1
39.8072 1
39.8659 1
39.9116 1
40.0079 1
40.2047 1
40.2244 3
40.3132 1
40.4156 1
40.5146 1
40.6204 1
40.7174 1
40.8723 1
