Time LX LY LZ
25.2964 2724.05 10819.7 19723.4
25.3475 2496.3 5793.6 14299.9
25.4489 872.604 382.423 1813.04
25.6035 905.003 383.459 1797.59
25.6504 994.948 384.555 2091.04
25.7517 1106.91 383.266 2725.3
25.8533 826.981 384.586 1398.03
25.954 1224.42 379.327 3156.1
26.1127 1299.62 379.3 3287.07
26.2571 4220.91 19264 27928.7
26.2627 483.616 387.447 527.224
26.3586 4714.74 20957.6 29261.3
26.4605 921.583 381.394 1551.35
26.5605 4430.33 25650 31899.9
26.7632 3662.23 15992.9 24687.2
26.7692 3807.71 17448.3 25663.6
26.8619 3968.55 19096.9 26727.2
26.9632 4145.2 20965.1 27893.1
27.0645 4338.82 23066.3 29180.4
27.1702 4549.66 25400.7 30631
27.2751 4779.57 27923 32333.8
27.3738 4630.53 25682.8 30680.8
27.5191 4849.95 28763.5 32194.3
27.6693 4091.54 28677.3 32755.3
27.677 3704.76 20608.8 30251.5
27.7763 1227.29 378.004 1856.89
27.8716 4176.06 29039.4 34321.4
27.9717 4089.9 27563 32027.9
28.0728 4266.32 32207.7 34156.2
28.1783 3772.22 15740.7 26437.4
28.279 3664.84 10805.1 22438
28.3756 3832.36 11996.8 23809.2
28.4793 4024.55 13386.8 25445.5
28.578 4239.14 15006.8 27318.2
28.6796 4480.4 16887 29478.8
28.8315 3742.59 11043.5 18957.6
28.894 287.126 643.641 2903.74
28.9976 301.899 1044.47 4666.61
29.1961 295.427 546.322 2098.14
29.2958 319.806 794.485 3141.3
29.3036 317.626 696.139 2667.75
29.3904 490.626 5010.59 13084.6
29.494 295.924 762.634 3365.6
29.599 201.542 477.476 2874.83
29.6909 221.708 617.887 4181.13
29.7925 513.921 6452.04 14615.8
29.8928 266.885 950.174 4226.35
29.9952 218.251 575.535 3839.6
30.1435 265.567 667.071 2809.02
30.2001 271.13 837.27 3630.81
30.3006 684.964 7455.61 15217.9
30.3988 691.59 7323.85 15147.4
30.4978 687.065 7060.78 15008.9
30.6029 708.451 7100.75 15092.4
30.7063 222.651 897.304 4210.38
30.8103 952.03 7616.44 16107.8
30.9118 192.051 851.296 6174.94
31.0067 239.148 781.778 3307.21
31.3546 217.812 796.238 5733.15
31.4175 269.224 669.367 2417.56
31.6116 3098.79 26271.6 27714.5
31.6213 3192.85 28673.7 27165
31.6731 217.99 739.445 3721.53
31.7602 3818.79 33964 30505.8
31.8615 224.184 686.116 3546.75
31.9646 3335.87 29421 29866.2
32.067 3223.22 28636.4 30178.6
32.2125 3298.98 29774.6 30756.5
32.2712 3367.14 30773.7 31363
32.3651 3263.27 27251.7 30202.8
32.4653 3306.77 27950.4 30584.2
32.6167 3340.84 28525.5 30910.4
32.8214 161.313 445.798 2379.92
32.8329 3400.25 30475.2 31722.2
32.9198 3411.32 30742.2 31930.5
33.0268 163.994 438.136 1672.4
33.0758 3430.98 32575.4 31360.7
33.1748 175.188 444.912 1526.87
33.2781 178.052 442.56 1597.83
33.3744 3290.77 31740.8 28111
33.5258 3281.06 31673.1 28016.3
33.6276 3267.93 27883.8 27883.8
33.6781 3252.4 27721.2 31464.7
33.7793 3234.7 27533.2 31335.2
33.8786 3215.85 27334.2 31196.9
33.9806 3196.45 27123.2 31059.1
34.0819 3177.16 26911.1 30924.1
34.181 3158.4 26702.8 30794.9
34.2837 3141.05 26503.3 30678.8
34.3822 3124.6 26313.7 30570.9
34.484 3110.24 26143.4 30477.5
34.5895 3097.69 25992.2 30396.3
34.6858 3087.05 25858.6 30326.4
34.791 3078.22 25742.7 30267.3
34.8878 3071.42 25645.8 30220.8
34.9898 3066.38 25567 30184.6
35.0896 3063.19 25507 30159.6
35.192 3061.69 25465.9 30143.7
35.3445 183.668 502.99 2598.31
35.3933 3063.31 25768.1 30333.4
35.4934 3066.57 25776 30343.5
35.6438 2840.31 23566.5 28998.7
35.7508 2846.74 23585.9 29020.7
35.7964 2854.2 23614.4 29046
35.8983 195.573 500.509 2622.09
36.0007 2457.6 21089.7 27913.3
36.1026 2467.81 21119.1 27939.4
36.2102 2478.37 21147.1 27964.7
36.3054 2489.3 21173.5 27988.9
36.4063 2499.52 20995.6 27758.9
36.5021 2511.28 21017.9 27780.6
36.605 2522.63 21030.2 27797.1
36.7076 2534.75 21030.2 27812.6
36.8072 223.012 740.494 4238.2
36.9117 2280.74 18443.5 26501.2
37.0564 2289.74 18425.1 26498.3
37.1131 1917.36 16340.5 25203.5
37.2636 1918.26 16105 24824.6
37.3123 1929.09 16058.1 24810.9
37.4108 1940.04 16004.6 24793.7
37.5163 1951.01 15945.5 24771.8
37.6169 1960.66 15736.9 24493.2
37.7123 1973.31 15653.9 24467.5
37.8155 1986.08 15565.9 24437.2
37.9161 1999.33 15478.6 24403.7
38.0171 2013.55 15389.7 24370
38.1175 2029.11 15299 24338.1
38.2194 2045.93 15207 24307.4
38.368 2063.91 15113.8 24278.1
38.4204 2025.32 14036.6 23997.5
38.5228 238.643 1009.87 6557.91
38.6283 246.792 965.962 6244.76
38.7224 2771.78 17488.7 27291.5
38.9095 2738.22 16984.8 27093
38.9591 2775.44 16839 27066.2
39.054 2815.31 16693.9 27040.1
39.2 2536.03 14315 25701.7
39.2976 2345.87 12476.2 24960.8
39.3585 1670.36 9377.44 20642.8
39.5123 1617.54 8854.55 20283.9
39.5673 1621.79 8815.94 20273.4
39.8509 1625.14 8808.35 20290.6
39.9005 1625.6 8868.42 20294
40 1625.43 8878.59 20315.6
40.0994 1620.88 8889.87 20319.2
40.3013 1610.76 8878.35 20293.5
40.3583 1549.03 8403.13 19857.9
40.404 169.322 439.79 1844.3
40.5062 1524.81 8686.08 19881.1
40.6061 175.879 442.905 2031.39
40.705 1484.43 8750.09 20238.1
40.8116 1448.88 8570.18 20025.1
40.9091 1407.19 8334.11 19735.1
41.0141 616.193 273.012 3605.37
41.1213 739.714 283.583 6364.04
41.2163 2386.62 12313 24947.2
41.3157 3490.88 384.63 8113.36
41.4239 654.464 386.629 4461.77
41.5162 23710.5 9649.09 39959
41.7788 1682.55 8947.83 20777.1
41.9209 1568.6 8319.25 20049.7
41.9359 1464.02 7735.63 19354.4
41.9811 1366.94 7194.09 18680.2
42.0287 1278.67 6696.23 18042.9
42.1227 1091.4 5915.1 16762.6
42.2213 1026.81 5529.45 16230.7
42.3244 199.437 467.118 1604.09
42.5237 921.421 4992.62 14933.4
42.6767 876.595 4728.83 14557.7
42.6884 838.12 4503.19 14229.4
42.828 805.645 4312.97 13947.7
42.8365 778.93 4156.54 13713.6
42.9319 599.921 2487.75 2487.75
43.0356 2140.58 303.726 9371.47
43.1369 2155.44 297.894 9335.78
43.237 1493.98 5582.63 15810.6
43.3339 1481.84 5522.26 15733.1
43.4425 178.581 567.208 2118.15
43.541 1712.06 6310.12 16354.8
43.7478 116.592 433.19 1787.36
43.762 1309.7 302.522 4707.59
43.8436 2324.66 8665.92 18886.6
43.9419 224.322 538.568 1787.54
44.0476 2400.99 9098.09 19495
44.1445 2425.52 9199.27 19615.3
44.2445 2448.87 9302.12 19738.1
44.3526 2468.92 9397.72 19853.7
44.4528 216.07 216.07 26374.5
44.555 227.36 227.36 22236.4
44.7021 3256.23 57345.3 64608.1
44.7519 3251.01 57865.6 64996
44.8573 3240.77 58136.8 65148.9
44.9509 3225.89 58131.1 65045.5
45.0533 3202.94 57818 64647.8
45.1592 3172.4 57395.9 64205
45.3625 2819.58 42628.6 47552.2
45.379 2779.53 42171.5 47116.9
45.4576 2352.28 9396.97 19921.5
45.556 2320.89 9343.71 19841.2
45.661 2269.81 8994.63 19606.8
45.7643 2234.23 8936.67 19511.8
45.8633 259.066 417.259 1982.61
45.9654 1379.72 323.713 6735.06
46.0655 999.684 298.443 6125.96
46.1692 194.019 585.675 2648.26
46.2685 3839.68 16378.2 25106.1
46.5254 3738.17 16332.9 24960.9
46.5347 3639.13 16307.1 24822.3
46.5712 2923.05 12158.6 21798
46.6744 2788.82 12111.3 21419.4
46.7709 2730.71 12140.4 21333.2
46.926 2677.11 12182.2 21259
46.9742 2628.73 12237.5 21199
47.0779 2578.7 12153.2 20816.1
47.1764 2541.69 12235.6 20785.4
47.3352 2449.77 12295.2 20680.2
47.3795 2422.42 12385.6 20666.2
47.4773 159.134 539.704 1880.87
47.6827 2441.42 12865.6 20965.5
47.6935 1900.87 9924.76 18810.5
47.8427 138.653 535.575 2469.73
47.8876 139.604 541.902 2004.62
47.9851 2018.57 10944.9 19605.2
48.0868 174.229 662.238 2656.9
48.239 261.467 845.594 6120.79
48.2901 167.516 665.879 2735.7
48.3912 2994.66 17207.7 23837.4
48.4931 3003.09 17244.5 23888.8
48.593 3012.13 17276.2 23939.7
48.6979 2754.34 13953.1 22488.7
48.7974 189.687 750.508 3458.56
48.8955 3162.46 14996 23743.8
48.9954 3171.31 15020.4 23792.7
49.0956 3180.09 15040.1 23837.7
49.2002 3189 15061.7 23882.1
49.35 221.817 1044.59 4726.19
49.4518 217.134 976.878 6331.92
49.5572 3824.57 16611.7 25830.8
49.5999 3787.24 16445.3 25683.6
49.7034 3727.93 16164 25437.3
49.8526 3641.75 15747.2 25071.2
49.9065 3526.09 15179 24569.1
50.0132 3398.96 14473.5 23992.1
50.1094 3295.88 13813.9 23511
50.2065 3215.66 13280.1 23111.8
50.3661 187.849 899.778 5393.74
50.4127 3365.96 16423.9 24367.8
50.5135 171.624 487.556 1886.56
50.6691 3317.36 15866.8 24135.8
50.7742 129.268 431.917 1804.93
50.8167 3380.02 16204.2 24070.5
51.1052 3368.12 16148.5 24033
51.2056 3357.36 16099.1 24000.5
51.2619 194.036 969.545 5887.35
51.3607 3654.8 17859.3 25150.1
51.4642 200.563 850.132 3639.7
51.5605 4032.92 19708.9 26173.8
51.6663 239.229 682.567 2206.99
51.8164 153.108 448.447 1634.77
51.9174 183.965 898.833 5259.75
51.9676 167.652 488.18 2170.39
52.0652 167.519 488.009 2169
52.171 167.403 487.807 2167.4
52.2735 167.298 487.569 2165.44
