Time State
8.35429 0
8.45688 0
8.55282 0
8.75429 0
8.81243 0
8.9039 0
8.95885 0
9.05935 0
9.1575 0
9.26274 0
9.41211 0
9.46298 0
9.56059 0
9.66339 0
9.81397 0
9.86534 0
9.96559 0
10.0664 0
10.1747 0
10.367 0
10.3735 0
10.522 0
10.6196 0
10.6742 0
10.87 0
10.9257 0
10.9734 0
11.0743 0
11.1744 0
11.2755 0
11.3744 0
11.4777 0
11.5791 0
11.6812 0
11.7796 0
11.8892 0
11.9821 0
12.081 0
12.1839 0
12.2827 0
12.3825 0
12.4857 0
12.5842 0
12.6858 0
12.786 0
12.9403 0
12.9912 0
13.0888 0
13.1897 0
13.342 0
13.3905 0
13.4934 0
13.5928 0
13.6925 0
13.9002 0
13.9068 0
13.9982 0
14.0959 0
14.198 0
14.2994 0
14.3993 0
14.5015 0
14.6013 0
14.7002 0
14.8503 0
14.9558 0
15.0043 0
15.1067 0
15.2095 0
15.3069 0
15.414 0
15.5145 0
15.7411 0
15.9196 0
15.9542 0
16.7033 0
16.7486 0
16.7591 0
16.7701 0
16.7834 0
16.8011 0
16.8108 0
16.9938 0
17.0037 0
17.0873 0
17.2293 0
17.3625 0
17.4135 0
17.5098 0
17.609 0
17.7102 0
17.813 0
18.1158 0
18.1256 0
18.1343 0
18.2138 0
18.3187 0
18.4134 0
18.515 0
18.6157 0
18.7164 0
18.816 0
18.9162 0
19.0202 0
19.1177 0
19.2731 0
19.3213 0
19.4701 0
19.524 0
19.6242 0
19.7248 0
19.827 0
19.9237 0
20.0292 0
20.129 0
20.2304 0
20.336 0
20.587 0
20.5989 0
20.6383 0
20.7392 0
20.8326 0
20.932 0
21.0873 0
21.1339 0
21.234 0
21.3409 0
21.4861 0
21.5389 0
21.6374 0
21.79 0
21.9388 0
21.9463 0
22.0434 0
22.1444 0
22.245 0
22.3958 0
22.446 0
22.5526 0
22.6465 0
22.7455 0
22.8475 0
22.9503 0
23.0487 0
23.1527 0
23.2505 0
23.3515 0
23.505 0
23.6042 0
23.6589 0
23.8087 0
23.8599 0
23.9596 0
24.063 0
24.1615 0
24.3213 0
24.3642 0
24.4676 0
24.5648 0
24.7243 0
24.772 0
24.8683 0
25.021 0
25.1164 0
25.2255 0
25.2732 0
25.3738 0
25.6714 0
25.6821 0
25.6903 0
25.7755 0
25.8745 0
25.9763 0
26.1331 0
26.2267 0
26.3292 0
26.3823 0
26.534 0
26.5804 0
26.7309 0
26.8301 0
27.1339 0
27.142 0
27.1514 0
27.1886 0
27.291 0
27.3882 0
27.4902 0
27.5962 0
27.7457 0
27.7915 0
27.8934 0
27.9928 0
28.094 0
28.241 0
28.3015 0
28.4003 0
28.5077 0
28.6438 0
28.6989 0
28.7998 0
28.8995 0
29.0013 2
29.1118 3
29.2094 3
29.3623 3
29.6038 3
29.6605 3
29.7593 3
29.8602 3
29.9633 1
30.0631 3
30.1644 3
30.2646 3
30.3754 3
30.4735 3
30.5671 3
30.6687 3
30.8273 3
30.8721 3
30.9729 3
31.0741 3
31.1751 3
31.2754 3
31.3777 3
31.4791 3
31.5803 3
31.6777 1
31.7833 0
31.9304 0
32.0338 0
32.0868 2
32.1889 3
32.2845 1
32.3865 0
32.5908 0
32.6007 0
32.6886 0
32.8396 0
32.8909 0
32.9912 0
33.0927 0
33.1921 0
33.3455 0
33.398 0
33.495 0
33.5984 0
33.6978 0
33.8017 0
33.8992 0
34.0042 0
34.1503 0
34.2063 2
34.3071 0
34.4074 0
34.6584 0
34.6745 0
34.7573 0
34.8091 0
34.958 0
35.0101 0
35.1105 0
35.2128 2
35.3139 0
35.5144 0
35.5277 0
35.6675 2
35.7222 0
35.8181 2
35.9199 3
36.0227 3
36.118 1
36.2218 0
36.3231 0
36.421 0
36.5223 0
36.7786 0
36.7883 0
36.8295 0
36.927 0
37.0283 0
37.1341 2
37.2325 0
37.3857 2
37.4306 0
37.5312 0
37.631 0
37.7314 0
37.8468 0
37.9888 2
38.0357 0
38.1406 0
38.2455 0
38.4008 0
38.4467 0
38.7064 0
38.7991 0
38.8997 2
39.0498 0
39.1056 0
39.1998 0
39.3045 2
39.4049 0
39.5058 0
39.6058 0
39.7072 0
39.9592 0
39.9742 0
40.0162 0
40.1131 0
40.2119 0
40.3189 0
40.4143 0
40.5173 0
40.6179 0
40.7203 0
40.8195 0
40.9716 0
41.0211 0
41.1219 0
41.2204 0
41.3194 2
41.4689 0
41.5228 2
41.7744 0
41.7849 2
41.9252 0
41.9802 0
42.0249 0
42.1312 2
42.2292 0
42.3292 2
42.4834 0
42.532 2
42.9331 3
42.9475 3
42.9605 3
42.9753 1
43.0378 3
43.1401 1
43.2405 3
43.3426 3
43.4424 3
43.5411 1
43.6983 0
43.7546 2
43.8936 0
43.948 0
44.0487 0
44.1475 0
44.2557 0
44.4069 0
44.5059 0
44.6105 0
44.6594 0
44.7578 0
44.8601 0
45.0069 0
45.0603 0
45.1582 0
45.2607 0
45.3571 0
45.4593 2
45.5645 0
45.7132 0
45.8103 0
45.867 0
45.9639 0
46.0651 2
46.1656 0
46.2647 0
46.5268 2
46.5425 2
46.6192 3
46.6735 3
46.8763 1
46.8933 3
46.9784 1
47.0764 0
47.1774 0
47.2737 0
47.3812 2
47.5243 0
47.5779 2
47.6772 0
47.7797 2
47.8792 0
47.9867 0
48.0824 0
48.1824 0
48.2838 2
48.3838 0
48.4863 0
48.6842 0
48.6942 0
48.8365 0
49.0927 2
49.1039 0
49.1151 0
49.1939 0
49.2916 0
49.3978 0
49.5415 0
49.5962 0
49.7515 0
49.7988 0
49.8954 0
49.9988 0
50.0986 0
50.1986 0
50.3 0
50.4016 0
50.5011 0
50.6071 0
50.7068 0
50.8029 0
50.9552 0
51.0089 0
51.1556 0
51.4673 0
51.4807 0
51.491 0
51.5166 0
51.6132 0
51.7135 0
51.8176 0
51.9141 0
52.0148 0
52.1159 0
52.217 0
52.3178 0
52.4193 0
52.5256 0
52.6212 0
52.7223 0
52.8742 0
52.9783 0
53.0259 0
53.1255 0
53.2248 0
53.3272 0
53.4284 0
53.5299 0
53.6343 0
53.7313 0
53.9317 0
54.085 0
54.0964 0
54.1345 0
54.2365 0
54.3358 0
54.4377 0
54.5408 0
54.6386 0
54.7392 0
54.8403 0
54.9405 0
55.0426 0
55.1421 0
55.2423 0
55.3923 0
55.4957 0
55.5975 0
55.6484 0
55.8487 0
55.8592 0
55.9509 0
56.0524 0
56.1532 0
56.2536 0
56.3543 0
56.5063 0
56.6558 0
56.6649 0
56.7562 0
56.9143 2
56.9617 0
57.0602 0
57.168 2
57.266 3
57.5104 3
57.6064 1
57.7081 3
58.0105 1
58.0236 1
58.0356 1
58.116 0
58.2115 0
58.3134 0
58.4189 0
58.5178 2
58.7674 0
58.9178 0
58.9297 0
58.9428 0
59.0198 0
59.1208 0
59.2204 0
59.3285 2
59.5257 3
59.5387 1
59.6277 3
59.7273 1
59.8397 3
59.936 3
60.0397 3
60.1355 3
60.2421 3
60.3412 1
60.5016 0
60.5435 0
60.6383 2
60.7389 0
60.84 0
60.9454 0
61.0486 0
61.1482 0
61.2406 0
61.3423 0
61.4458 0
61.5462 0
61.6475 0
61.7478 0
61.8489 0
61.948 0
62.0492 0
62.1501 0
62.2522 0
62.3526 0
62.456 0
62.5567 0
62.6581 0
62.7558 0
62.8581 0
63.0107 0
63.0635 0
63.1565 0
63.2578 0
63.3629 0
63.4644 2
63.6164 0
63.7282 0
63.8216 0
63.9222 0
63.9695 0
64.0678 0
64.1674 0
64.2673 0
64.37 0
64.5263 2
64.5749 0
64.6715 0
64.7766 0
64.8746 2
65.0244 3
65.0771 1
65.1761 0
65.2751 0
65.3818 2
65.639 3
65.9347 1
65.9532 3
65.9744 1
65.996 1
66.0406 0
66.0855 0
66.3213 0
66.5234 0
66.5327 0
66.6222 0
66.7727 0
66.8293 2
66.9299 0
67.0263 0
67.1259 0
67.2308 0
67.3277 0
67.4289 0
67.5291 0
67.7282 0
67.7376 0
68.1972 0
68.219 0
68.2344 0
68.2484 0
68.2587 0
68.3493 0
68.4484 0
68.555 0
68.6545 0
68.8073 0
