Time State
7.14428 0
7.24787 0
7.34744 0
7.4449 0
7.64746 0
7.65222 0
7.74774 0
7.84834 0
7.95114 0
8.05086 0
8.20568 0
8.30925 0
8.55561 0
8.75886 0
8.76428 0
8.90821 0
8.91653 0
8.92772 0
9.16328 0
9.17072 0
9.21931 0
9.56542 0
9.57271 0
9.62789 0
9.81473 0
9.91891 0
9.92684 0
9.93342 0
9.97232 0
10.1763 0
10.2254 0
10.2735 0
10.374 0
10.4729 0
10.5795 0
10.6774 0
10.8296 0
10.8817 0
10.979 0
11.0788 0
11.181 0
11.2793 0
11.3801 0
11.5344 0
11.5841 0
11.6825 0
11.8843 0
11.8918 0
11.9877 0
12.0865 0
12.1895 0
12.2875 0
12.3894 0
12.4915 0
12.5903 0
12.6916 0
12.7927 0
12.993 0
13.0004 0
13.0946 0
13.194 0
13.295 0
13.3973 0
13.5508 0
13.6015 0
13.7559 0
13.7999 0
13.9013 0
14.0028 0
14.2043 0
14.2125 0
14.3097 0
14.4065 0
14.507 0
14.6081 0
14.7083 0
14.8099 0
14.9099 0
15.0108 0
15.1197 0
15.2313 0
15.5115 0
15.788 0
15.8283 0
16.3723 0
16.3813 0
16.642 0
16.6521 0
16.6655 0
16.6802 0
16.6931 0
16.7042 0
16.7732 0
16.8236 0
16.9199 0
17.0197 0
17.1205 0
17.3784 0
17.3847 0
17.4638 0
17.5584 0
17.6576 0
17.7592 0
17.8611 0
17.9627 0
18.0632 0
18.1643 0
18.2656 0
18.3675 0
18.4657 0
18.5671 0
18.6715 0
18.7698 0
18.922 0
19.0236 0
19.0744 0
19.1724 0
19.3227 0
19.3797 0
19.4743 0
19.5765 0
19.6813 0
20.0358 0
20.0505 0
20.2901 0
20.3012 0
20.3103 0
20.3246 0
20.5888 0
20.5968 0
20.6069 0
20.6934 0
20.8912 0
20.8994 0
20.9928 0
21.0898 0
21.3447 0
21.358 0
21.4473 0
21.4943 0
21.5962 0
21.6976 0
21.7974 0
21.8981 0
22.0001 0
22.0998 0
22.2514 0
22.3505 0
22.4514 0
22.5008 0
22.6547 0
22.758 0
22.8058 0
22.9048 0
23.0066 0
23.1087 0
23.2099 0
23.3601 0
23.4132 0
23.5158 0
23.616 0
23.7142 0
23.8171 0
23.9176 0
24.0154 0
24.1168 0
24.3699 0
24.3783 0
24.4721 0
24.7262 0
24.7339 0
24.7411 0
24.8301 0
24.9252 0
25.0291 0
25.1288 0
25.2823 0
25.3319 0
25.4362 0
25.5364 0
25.6855 0
25.7862 0
25.8358 0
25.9357 0
26.0453 0
26.1478 0
26.2493 0
26.3444 0
26.451 0
26.5465 0
26.6446 0
