Time LX LY LZ
25.8579 386.941 1067.39 2253.93
25.8697 384.21 1230.95 2936.78
25.885 384.175 1215.24 2900.27
25.9062 40381.3 5376.31 33541.1
25.9982 387.116 952.527 1742.32
26.1523 48644.3 5677.61 35886.5
26.3044 53234.3 5945.26 37302.2
26.313 35187.1 4879.49 31962
26.6199 385.209 1166.78 2260.35
26.6295 32387.7 4611.17 30457.8
26.6449 25956.7 4131.12 27645.7
26.7215 28011 4279.66 28555.5
26.8114 28331.3 4189.16 29257.4
27.099 14011.5 3034.28 21823.8
27.1835 383.623 929.404 1587.36
27.3361 14878.4 3097.05 22461.8
27.3954 381.214 1070.22 2146.36
27.4935 14118.1 3113.18 22760.4
27.5895 14058.6 3102.32 22681.1
27.748 13892 3080.16 22518.6
27.7979 379.05 1240.67 2960.4
27.9008 379.082 1102.13 2363.31
27.9979 383.385 993.046 1635.08
28.1015 16050.6 3183.59 22853.8
28.2057 15775.8 3155.57 22688.8
28.3044 15547.1 3131.54 22552.1
28.408 15365 3111.59 22443.9
28.6082 15240.1 3096.93 22371.4
28.6191 15168.2 3087.16 22331.9
28.8151 15145.9 3082.16 22324
28.8263 15170 3081.65 22346.1
28.9101 15249.8 3086.48 22402.9
29.1123 15377.7 3096.02 22490.1
29.1227 15550.4 3109.99 22604
29.2181 15752.8 3127.05 22736.7
29.3689 15989 3147.47 22890.7
29.435 16257.9 3171.24 23063.8
29.5745 16548.1 3197.03 23250.1
29.632 16859.8 3224.84 23449.1
29.7761 17185.1 3254.02 23655
29.8931 17524.6 3284.6 23867.7
29.9343 17865.5 3315.3 24079.3
30.0338 18205.5 3346.03 24291.3
30.1318 18539.3 3376.46 24499.5
30.2391 18854.1 3405.83 24696.7
30.3326 19152.6 3434.12 24885.2
30.4936 19415.8 3459.83 25054.7
30.589 19660.3 3484.14 25214
30.696 19241.8 3424.43 25303.2
30.7441 19405.7 3440.43 25409
30.8447 378.613 1175.2 2533.09
30.9426 20635.4 3468.18 25846
31.0438 20694.6 3475.38 25887.9
31.1542 385.789 1485.04 3887.75
31.2467 21907.7 3703.84 26409.5
31.4511 21863 3698.08 26392.5
31.4606 377.48 1148.12 2575.19
31.5578 22525.6 3743.34 26535.7
31.7017 22401.5 3736.81 26485.4
31.7617 22259 3728.74 26427.5
31.8541 22105.4 3719.86 26365.2
31.9641 21949.8 3710.95 26302.1
32.1088 21774.5 3700.53 26230.2
32.2142 20571.2 3446.87 25650.9
32.2619 388.901 734.344 1017.56
32.4219 17694.9 3649.88 25049.3
32.4769 17545 3641.15 24972.3
32.5712 17400 3633.26 24899.1
32.7776 17261.5 3626.27 24830.9
32.7862 17129.9 3619.64 24765.6
32.8781 17009.4 3614.84 24710.5
32.9781 388.197 1071.56 2097.56
33.0831 16947.7 3631.92 24745.4
33.244 373.168 990.805 1901.76
33.3029 372.554 979.165 1878.04
33.4417 15616 3750.27 24236.5
33.4974 15462 3460.73 24145
33.6942 13442.5 3216.3 22479.5
33.7633 377.959 1916.58 7660.8
33.8087 16356.1 3499.93 25872.5
33.9029 16399.1 3501.11 25908.2
34.2051 16450.5 3510.67 25951.3
34.7154 390.999 835.492 1444.98
34.7308 380.886 1925.83 7709.92
34.7458 20127.4 4490.57 30212.6
34.7694 389.145 1260.05 2977.62
34.7809 20866.5 4521.89 31222.9
34.7916 21124.5 4552.78 31523.8
34.8682 21442.3 4591.12 31886.4
34.9729 21827.3 4637.39 32317.9
35.0734 382.209 1990.85 7642.03
35.1735 26168.4 4993.79 37454.2
35.3346 384.75 2183.02 7347.12
35.3764 31558.1 5387.57 44158.2
35.478 33663 5600.1 46658.8
35.6318 36242.8 5851.71 49841.7
35.9343 38651.7 6080.41 52525.9
35.9503 39873.5 6165.05 55675.7
35.9616 41797.1 6421.64 59661.6
35.991 32331.5 5849.11 47565.7
36.1028 32805.3 6152.78 50859.7
36.1948 20587 5643.88 33748.1
36.3046 23331.2 6118.94 36370.6
36.5938 18894.7 5281.43 30410.3
36.6061 16454.1 5681.29 31341.2
36.626 18194.3 5918.06 32187.4
36.6948 9518.36 6279.15 32637.3
36.7906 10663.2 6814.73 34734.8
36.9583 8600.32 5704.71 30618.6
37.0516 3362.71 7118.82 27222.3
37.3018 3614.75 7427.13 28471.9
37.3087 3852.06 7694.1 29595.7
37.3154 4067.86 4067.86 30592.1
37.5029 4253.9 4253.9 31443.3
37.5092 4406.9 4406.9 32133.7
37.656 4525.14 4525.14 32671.6
37.7101 8428.54 4606.4 33035.5
37.8039 8445.75 4653.27 33251.8
37.9079 8421.56 4667.59 33322.2
38.012 8361.28 4651.43 33260.3
38.1218 480.033 189.62 2499.02
38.2359 459.691 198.262 1986.42
38.3196 472.879 192.427 3231.58
38.6295 447.001 209.714 1327.59
38.6398 21109.8 99273.6 88664.3
38.7743 21315.7 98740.1 88320.9
38.8371 375.234 2319.89 6096.58
39.0827 23037.7 104956 95271.4
39.0948 23213.4 104551 95055.1
39.1066 327.229 1789.6 28669.2
39.1793 30774.6 125943 124175
39.2922 20680.2 100147 91848.9
39.3365 20942.6 99297.2 91197.5
39.5407 21298.8 98726.1 90461.8
39.5986 21763.7 98304.5 89588.5
39.6459 22339.4 97922.6 88574.5
39.7423 440.712 219.737 2667.9
39.8445 15748.6 84625.6 73748.8
39.9441 15904.2 84170.8 72680.8
40.0444 14743.9 75787.3 64231.3
40.1511 10998.8 63843.5 51958.9
40.3049 422.11 222.544 2119.82
40.3484 11158.2 52984.7 43710.7
40.4538 569.252 245.331 2685.14
40.658 469.822 272.078 2884.72
40.6697 472.184 271.77 4262.93
40.7593 13026.5 24971 33958.1
40.8514 12969.2 24990.7 33944.6
40.9736 493.326 187.549 3087.72
41.0585 387.101 521.063 568.827
41.1652 15877.3 29279.1 37406.5
41.2576 15786 29290.7 37403.9
41.6606 15707.6 29295.7 37412
41.6699 15637.5 29296.2 37423.1
41.6828 607.2 214.913 5271.84
42.0741 17920.1 30985.3 39856.7
42.0852 558.935 221.419 3574.4
42.0967 362.586 1903.93 5419.67
42.113 522.935 233.592 4089.91
42.1308 24435.2 76064 73888.2
42.1746 24360.4 76236.9 73896.6
42.3317 358.745 2153.87 6288.26
42.4261 24058.3 88147 80678.5
42.5813 24535.4 90623.4 83155.3
42.5915 359.864 2085.54 6181.56
42.6784 25211.6 102017 91455.3
42.7783 25211.3 101996 91416.7
42.8822 25221.6 101949 91381.5
42.9793 25241.2 101875 91343.7
43.0881 25269.9 101791 91315
43.1865 25307.5 101687 91290.3
43.2921 25347.3 101576 91270.9
43.3894 24919 98422.7 88437.4
43.5437 24962.8 98331.5 88439.1
43.595 25004.5 98241.9 88440
43.6981 25043.9 98153.2 88443.7
43.7923 25079.7 98064.1 88447.6
43.9004 25107.9 97997.9 88460.5
43.9981 25130.4 97946.6 88478.1
44.1009 25143.3 97923.5 88509.8
44.2529 25148 97922.7 88545.7
44.3075 25143.9 97946 88587.7
44.4035 25129.1 98007.1 88642.7
44.5092 25105.5 98105.8 88715.8
44.6069 25075.3 98231.9 88797.7
44.759 25037.6 98382.1 88885.4
