Time State
8.43086 0
8.58462 0
8.63368 0
8.73546 0
8.8342 0
8.93856 0
9.03736 0
9.13889 0
9.23855 0
9.40545 0
9.49624 0
9.54876 0
9.64941 0
9.76006 0
9.84808 0
9.95531 0
10.1003 0
10.1613 0
10.2536 0
10.3559 0
10.4563 0
10.5608 0
10.6626 0
10.7599 0
10.8581 0
10.9642 0
11.0691 0
11.1641 0
11.2623 0
11.427 0
11.468 0
11.5707 0
11.6692 0
11.7704 0
11.9239 0
11.9729 0
12.074 0
12.2308 0
12.3276 0
12.3833 0
12.4841 0
12.5796 0
12.7456 0
12.7895 0
12.8898 0
12.9874 0
13.1494 0
13.1895 0
13.3935 0
13.594 0
13.6071 0
13.6226 0
13.8498 0
13.8593 0
13.9462 0
14.1002 0
14.1104 0
14.2024 0
14.4056 0
14.4202 0
14.5034 0
14.6626 0
14.7058 0
14.8026 0
14.9046 0
15.1799 0
15.2099 0
15.2434 0
15.5557 0
15.8701 0
16.1545 0
16.4397 0
16.5429 0
16.5749 0
16.7302 0
16.7449 0
16.7633 0
16.781 0
16.7958 0
16.8265 0
16.9681 0
16.9786 0
17.0105 0
17.1043 0
17.2269 0
17.5218 0
17.5349 0
17.6213 0
17.6764 0
17.7686 0
17.8714 0
17.9741 0
18.1246 0
18.2768 0
18.3763 0
18.3875 0
18.4814 0
18.5793 0
18.7319 0
18.7918 0
18.8901 0
18.9859 0
19.0988 0
19.2421 0
19.3941 0
19.4494 0
19.6551 0
19.6695 0
19.7127 0
19.8049 0
19.9055 0
20.0097 0
20.266 0
20.3784 0
20.3966 0
20.5248 0
20.5432 0
20.627 0
20.7821 0
20.8392 0
20.9265 0
21.0345 0
21.1307 0
21.2383 0
21.3341 0
21.4876 0
21.5374 0
21.6368 0
21.739 0
21.8468 0
21.9415 0
22.0432 0
22.1452 0
22.3057 0
22.3505 0
22.4538 0
22.5593 0
22.759 0
22.8056 0
22.9021 0
22.956 0
23.0566 0
23.4238 0
23.4337 0
23.4466 0
23.4704 0
23.571 0
23.7721 0
23.7824 0
23.8718 0
23.9701 0
24.1185 0
24.1713 0
24.3721 0
24.3829 0
24.4808 0
24.5752 0
24.7351 0
24.7863 0
24.8855 0
24.9809 0
25.1307 0
25.2871 0
25.2976 0
25.39 0
25.8475 0
25.8579 0
25.8697 0
25.8851 0
25.9063 0
25.9983 0
26.1523 0
26.3045 0
26.3131 0
26.6199 0
26.6308 0
26.6449 0
26.7219 0
26.8115 0
27.0992 0
27.1836 0
27.3361 0
27.3955 0
27.4936 0
27.5897 0
27.748 0
27.798 0
27.9009 0
27.9983 0
28.1017 0
28.2057 0
28.3045 0
28.4082 0
28.6082 0
28.6192 0
28.8155 0
28.8264 0
28.9103 0
29.1123 0
29.1228 0
29.2184 0
29.3699 0
29.4351 0
29.5746 0
29.6321 0
29.7762 0
29.8931 0
29.9344 0
30.0339 0
30.1318 0
30.2392 0
30.3327 0
30.4938 0
30.5895 0
30.6967 0
30.7446 0
30.8448 0
30.9427 0
31.044 0
31.1546 0
31.2468 0
31.4512 0
31.4607 0
31.558 0
31.7028 0
31.7617 0
31.8542 0
31.9642 0
32.1091 0
32.216 0
32.262 0
32.422 0
32.4769 0
32.5713 0
32.7779 0
32.7863 0
32.8781 0
32.9781 0
33.0832 0
33.2441 0
33.3032 0
33.4423 0
33.4976 0
33.6943 0
33.7636 0
33.8092 0
33.9031 0
34.2052 0
34.7162 0
34.7311 0
34.7462 0
34.7695 0
34.781 0
