Time State
7.20865 0
7.42395 0
7.54007 0
7.56786 0
7.91377 0
8.22009 0
8.26463 0
8.54906 0
8.56907 0
8.58911 0
9.18561 0
9.25324 0
9.72946 0
9.73967 0
9.96116 0
10.1541 0
10.2046 0
10.3808 0
10.5 0
10.5331 0
10.562 0
10.6246 0
10.732 0
10.8458 0
11.2328 0
11.2614 0
11.5007 0
11.5295 0
11.5804 0
11.724 0
11.8328 0
11.9527 0
12.0307 0
12.1716 0
12.2912 0
12.4177 0
12.68 0
12.8791 0
12.912 0
12.9914 0
13.0414 0
13.2481 0
13.3033 0
13.7257 0
13.76 0
13.9246 0
13.9663 0
14.0236 0
14.1301 0
14.244 0
14.3834 0
14.5278 0
14.6102 0
14.9093 0
14.9879 0
15.3575 0
15.3861 0
15.4625 0
15.5018 0
15.5393 0
15.7045 0
15.8055 0
16.099 0
16.2357 0
16.281 0
16.5924 0
16.6328 0
16.8252 0
16.8707 0
16.901 0
16.961 0
17.0881 0
17.2481 0
17.6636 0
17.7037 0
17.7364 0
17.7753 0
17.8997 0
17.9594 0
18.4995 0
18.539 0
18.7954 0
18.8338 0
19.0025 0
19.0451 0
19.0897 0
19.4278 0
19.4698 0
19.5334 0
19.7253 0
19.7661 0
19.9152 0
20.1127 0
20.5941 0
20.7423 0
20.7846 0
20.867 0
20.9125 0
20.9798 0
21.1131 0
21.352 0
21.4008 0
21.4502 0
21.709 0
21.7551 0
21.8181 0
21.88 0
22.0319 0
22.3803 0
22.4271 0
22.5797 0
22.6623 0
22.8252 0
22.9265 0
23.0526 0
23.1704 0
23.317 0
23.4449 0
23.7115 0
23.761 0
23.8854 0
23.9319 0
24.2672 0
24.3328 0
24.4312 0
24.6313 0
24.6977 0
24.7484 0
24.9226 0
25.1758 0
25.4122 0
25.4418 0
25.4683 0
25.5937 0
25.7072 0
25.85 0
25.9228 0
26.501 0
26.567 0
26.7594 0
26.804 0
27.0145 0
27.0842 0
27.4243 0
27.4655 0
27.653 0
27.6925 0
27.7287 0
27.8165 0
27.8572 0
27.8977 0
27.9348 0
27.9642 0
28.156 0
28.2675 0
28.4472 0
28.4944 0
28.621 0
28.8521 0
28.9766 0
29.0364 0
29.1347 0
29.5978 0
29.7043 0
29.7388 0
29.7677 0
30.0062 0
30.0299 0
30.2498 0
30.2928 0
30.3586 0
30.4239 0
30.5518 0
30.6857 0
30.8 0
30.9988 0
31.1126 0
31.3193 0
31.35 0
31.4752 0
31.5741 0
